LocationId,count,LON,LAT,NOM_SITE
290,4,2.309841,48.874924,HAUSSMANN_COURCELLES
291,14,2.309838,48.880990000000004,PARC_MONCEAU_BIS
292,2,2.30987,48.872640999999994,ST_PHILIPPE_DU_R_METRO_L9
293,2,2.310191,48.857578000000004,LA_TOUR_MAUBOURG_METRO_L8
294,6,2.3103290000000003,48.880901,PARC_MONCEAU
295,27,2.3103580000000004,48.876928,HAUSSMAN_TER
296,5,2.3106169999999997,48.877009,OSM_CAPITAL_8_MESSINE
297,4,2.310768,48.874475,COURCELLES_BIS
298,4,2.3107830000000003,48.872811999999996,LA_BOETIE_PERCIER_BIS
299,4,2.31128,48.885349,CARDINET
300,27,2.311385,48.839469,ARMORIQUE
301,4,2.311448,48.877216,MESSINE
302,12,2.31229,48.882051000000004,LEGENDRE_S_RE
303,24,2.312339,48.866225,"MM_GP_FIAC_2011_EVENT, MM_GP_FIAC_2012_EVENT, MM_GP_FIAC_2013_EVENT, MM_GRAND_PALAIS_EVENT_2014, MM_GRAND_PALAIS_PARADISO_2015, MM_LEADERS_MEETING_EVENT_2015"
304,6,2.312446,48.870395,MATIGNON
305,7,2.312502,48.866225,"GRAND_PALAIS_UE_JUILLET_EVENT, GRAND_PALAIS_INDOOR"
306,21,2.312516,48.866162,GRAND_PALAIS
307,27,2.312555,48.87106,AVENUE_GABRIEL_EU
308,2,2.312595,48.842866,PASTEUR_METRO_L6_12
309,2,2.312584,48.866071999999996,GRAND_PALAIS_QUIKSILVER_2009_EVENT
310,12,2.312576,48.88357,RUE_SAUSSURE
311,27,2.312771,48.874466,BOETIE
312,12,2.312798,48.87443,OSM_SANOFI_PARIS_INDOOR
313,5,2.312976,48.873271,OSM_CA_VILLAGE_PARIS_INDOOR
314,33,2.313016,48.846703999999995,HENRI_QUEUILLE
315,4,2.313,48.880317,MALESHERBES_MONCEAU_BIS
316,27,2.313091,48.830678999999996,HOPITAL_ST_JOSEPH
317,27,2.3131150000000003,48.897240000000004,STADE_LEON_BIANCOTTO
318,27,2.3132650000000003,48.867519,CHAMPS_ELYSEES_METRO_L1
319,6,2.313348,48.864814,TPIM_COURS_DE_LA_REINE
320,27,2.313702,48.834122,VOUILLE
321,2,2.313729,48.894211,PORTE_DE_CLICHY_METRO_L13
322,8,2.313762,48.852573,BRETEUIL
323,28,2.3138229999999997,48.837942,GARE_MONTPARNASSE_SNCF
324,15,2.313805,48.877522,PLACE_DE_NARVICK
325,2,2.31403,48.831920000000004,PLAISANCE_METRO_L13
326,27,2.3142150000000004,48.873783,MIROMESNIL_METRO_L9_L13
327,27,2.314238,48.853004999999996,BRETEUIL_BIS
328,4,2.314279,48.88322,LEVIS
329,4,2.31432,48.884190999999994,LEGENDRE_MICRO_BIS
330,1,2.314402,48.883265,THE_PHONE_HOUSE_LEVIS_PDV2
331,8,2.3146299999999997,48.860896000000004,INVALIDES_METRO_L8_L13
332,8,2.3146430000000002,48.862424,SEINE_ALEXANDRE_III
333,4,2.314707,48.871483000000005,ST_HONORE_ELYSEE_BIS
334,27,2.31493,48.892136,PONT_CARDINET
335,2,2.315122,48.856573,VARENNE_METRO_L13
336,7,2.315166,48.881405,VILLIERS_METRO_L2_3
337,4,2.315209,48.87559,HAUSSMANN_MIROMESNIL
338,27,2.3153650000000003,48.828595,PTE_CHATILLON_BIS
339,5,2.315587,48.850857,OSM_SCI_LA_REINE_PARIS_INDOOR
340,4,2.315616,48.880039000000004,MONCEAU_MIROMESNIL
341,3,2.315852,48.87036,OSMSLA_MARIGNY_ELYSEE_RF
342,4,2.315851,48.872813,PENTHIEVRES_MIROMESNIL
343,1,2.316092,48.881612,BOUTIQUE_SDR_LEVIS_PDV1
344,49,2.316129,48.82615,"OSM_DES_BRUNE, PORTE_DE_CHATILLON, BACHELARD"
345,24,2.316183,48.860402,ASSEMBLEE_NATIONALE
346,27,2.316257,48.879005,VILLIERS
347,4,2.3163400000000003,48.842912,FALGUIERE
348,24,2.316391,48.885548,LEGENDRE
349,4,2.316596,48.883949,LEGENDRE_2_MB
350,12,2.316654,48.841249,GARE_MONTPARNASSE_TER_PROV
351,7,2.3167869999999997,48.847019,DUROC_METRO_L10_13
352,3,2.316823,48.860168,CHIMIE_INDOOR
353,15,2.316838,48.892693,PONT_CARDINET_EU
354,4,2.317073,48.882601,DAMES
355,4,2.3171150000000003,48.879545,GENERAL_FOY_BIS
356,15,2.317198,48.841456,GARE_MONTPARNASSE_BIS
357,45,2.317218,48.894482,RERC_P_CLICHY
358,6,2.317242,48.867798,OSM_VIP_STUDIO_GABRIEL_INDOOR
359,4,2.3173060000000003,48.844332,VAUGIRARD_BIS
360,4,2.31736,48.881288,BATIGNOLLES_GOUBAUX_PROVISOIRE
361,28,2.317459,48.872337,OSMSLA_MIROMESNIL_RF
362,1,2.317837,48.844575,FALGUIERE_METRO_L12
363,1,2.317882,48.833960999999995,PERNETY_METRO_L13
364,12,2.317885,48.861525,ASSEMBLEE_NATIONALE_INDOOR
365,4,2.318003,48.873128,PENTHIEVRE_CAMBACERES
366,27,2.3180389999999997,48.887265,BROCHANT
367,1,2.318093,48.852098,CRIF_BARBET
368,8,2.318125,48.839290000000005,GARE_MONTPARNASSE_2_INDOOR
369,3,2.318148,48.849276,ROUSSELET
370,20,2.3182139999999998,48.856636,BABYLONE_BIS
371,15,2.318257,48.849428,CATHERINE_LABOURE
372,4,2.318395,48.845339,OSM_IMAGINE_NECKER_PARIS_INDOOR
373,23,2.318493,48.837781,PLACE_DE_CATALOGNE_RE
374,3,2.318587,48.842463,GARE_MONTPARNASSE
375,3,2.3187860000000002,48.856331,BABYLONE
376,5,2.318808,48.872059,OSM_CLIFFORD_ASTORG_PARIS_INDOOR
377,28,2.3138229999999997,48.837942,GARE_MONTPARNASSE_SNCF
378,4,2.318881,48.896127,BESSIERES_IDF
379,27,2.318998,48.834258,PERNETY
380,4,2.319023,48.878763,ROCHER
381,15,2.3191450000000002,48.841978000000005,HSF_PROVISOIRE
382,4,2.319298,48.873533,OSM_CEGID_PARIS
383,33,2.319322,48.842023,GARE_MONTPARNASSE_TER
384,12,2.3196790000000003,48.872634000000005,OSMSLA_GAN_ASTORG
385,6,2.319737,48.864329999999995,TPIM_CONCORDE
386,21,2.3200939999999997,48.854974,CITE_VANEAU
387,8,2.3201669999999996,48.840908,GARE_MONTPARNASSE_1_INDOOR
388,4,2.320234,48.843506,MAINE
389,2,2.320246,48.890429,BROCHANT_METRO_L13
390,3,2.3203009999999997,48.847496,OSM_LA_BANQUE_POSTALE_PARIS_INDOOR
391,27,2.320333,48.831786,NOYER_DIDOT
392,27,2.320319,48.873731,LAVOISIER
393,2,2.320405,48.861129999999996,ASSEMBLEE_NATIONALE_METRO_L12
394,27,2.320459,48.861643,QUAI_ANATOLE_FRANCE
395,4,2.320495,48.877361,OSM_BPI_PARIS_INDOOR
396,33,2.320548,48.884174,ROME
397,8,2.320639,48.854345,OSM_GOUV_57_VAREN_VIP
398,4,2.320651,48.858946,DOMINIQUE
399,2,2.320763,48.848602,VANEAU_METRO_L10
400,27,2.32077,48.870145,OSMSLA_MADELEINE_RF
401,21,2.32082,48.841394,MONTPARNASSE_METRO_L6
402,4,2.320837,48.874441,HAUSSMANN_MALESHERBES
403,21,2.3208860000000002,48.846706,HOPITAL_NECKER
404,7,2.3209020000000002,48.882403000000004,ROME_METRO_L2
405,10,2.320981,48.848997,KERING_PARIS07_INDOOR
406,4,2.320982,48.888227,LEMERCIER_MICRO
407,33,2.321026,48.878961,"ST_AUGUSTIN_PROVISOIRE, ST_AUGUSTIN_BIS"
408,4,2.321057,48.867781,BOISSY_D_ANGLAS_BIS
409,6,2.3212450000000002,48.87738,ST_AUGUSTIN_IDF
410,6,2.321392,48.841538,TPIM_AVENUE_DU_MAINE
411,4,2.3216639999999997,48.843191999999995,ARRIVEE
412,4,2.321682,48.871951,MALESHERBES_ANJOU
413,3,2.321791,48.874162,OSM_CHAUMET_HAUSSMANN_IND
414,3,2.32187,48.837098,VERCINGETORIX
415,32,2.321866,48.895579,PORTE_DE_ST_OUEN
