,LocInfo,TECHNO,LAC,CI,COORD_X,COORD_Y,LON,LAT,min_dt,max_dt,NOM_SITE
253270,8102f81001754d08,4G,1,24464648,599587,2430383,2.330879,48.871763,2019/03/15,2019/06/22,AUBER_RER_A
253271,8102f81001755501,4G,1,24466689,599045,2429749,2.323496,48.866065,2019/03/15,2019/06/22,CONCORDE_METRO_L1
253295,8102f81001783b01,4G,1,24656641,597140,2430470,2.29754,48.872539,2019/03/15,2019/06/22,AGENCE_FT_PARIS_CHAMPS_ELYSEES_PDV1
253304,8102f8100179a008,4G,1,24748040,600241,2430390,2.339789,48.871826,2019/03/15,2019/06/22,RICHELIEU_DROUOT_METRO_L8_L9
253305,8102f8100179a402,4G,1,24749058,602467,2428302,2.370104,48.853056,2019/03/15,2019/06/22,BASTILLE_METRO_L8
253313,8102f810017ba515,4G,1,24880405,602525,2426585,2.370884,48.837624,2019/03/15,2019/06/22,TUNNEL_GSMR_AUSTERLITZ_GARE
253314,8102f810017bd204,4G,1,24891908,598855,2431567,2.3209020000000002,48.882403000000004,2019/03/15,2019/06/22,ROME_METRO_L2
253315,8102f810017c1801,4G,1,24909825,598818,2429200,2.320405,48.861129999999996,2019/03/15,2019/06/22,ASSEMBLEE_NATIONALE_METRO_L12
253317,8102f810017c9e04,4G,1,24944132,602235,2428049,2.366943,48.850783,2019/05/19,2019/06/22,BOURDON
253324,8102f810017e4401,4G,1,25052161,601699,2433298,2.359664,48.897959,2019/03/15,2019/06/22,PORTE_DE_LA_CHAPELLE_METRO_L12
253326,8102f810017e810b,4G,1,25067787,602844,2427360,2.375232,48.844589,2019/03/15,2019/06/22,GARE_DE_LYON_INDOOR_BIS
253329,8102f810017f580f,4G,1,25122831,600484,2429550,2.343099,48.864277,2019/06/09,2019/06/22,RIVOLI
253758,0102f810031733ec,3G,791,13292,600241,2430390,2.339789,48.871826,2019/03/15,2019/06/22,RICHELIEU_DROUOT_METRO_L8_L9
253759,0102f810031760cc,3G,791,24780,598364,2430608,2.3142150000000004,48.873783,2019/03/15,2019/06/22,MIROMESNIL_METRO_L9_L13
253760,0102f810031773c2,3G,791,29634,602751,2427403,2.373966,48.844975,2019/03/15,2019/06/22,GARE_DE_LYON_RER_A
253761,0102f8100317bcad,3G,791,48301,604281,2427744,2.394804,48.848032,2019/03/15,2019/06/22,NATION_METRO_L1_2_6
253762,0102f8100317cddc,3G,791,52700,602751,2427403,2.373966,48.844975,2019/03/15,2019/06/22,GARE_DE_LYON_RER_A
253771,0102f81003fab6e0,3G,1018,46816,603300,2430252,2.381464,48.870578,2019/03/15,2019/06/22,BLD_BELLEVILLE_EU
253772,0102f81003fb130d,3G,1019,4877,603103,2425782,2.378748,48.830405,2019/03/15,2019/06/22,KAFKA
253774,0102f81003fb170b,3G,1019,5899,604460,2429991,2.397265,48.868225,2019/03/15,2019/06/22,CHINE
253775,0102f81003fb1753,3G,1019,5971,601650,2432695,2.358994,48.892540000000004,2019/03/15,2019/06/22,PORTE_DE_LA_CHAPELLE
253777,0102f81003fb319d,3G,1019,12701,603591,2429220,2.38542,48.861302,2019/03/15,2019/06/22,PLACE_METIVIER
253778,0102f81003fb4384,3G,1019,17284,603902,2430659,2.389669,48.874233000000004,2019/03/15,2019/06/22,PYRENEES
253780,0102f81003fb5694,3G,1019,22164,602908,2427755,2.376106,48.848138,2019/03/15,2019/06/22,PLACE_ALIGRE_EU
253782,0102f81003fb7fb3,3G,1019,32691,603076,2426606,2.378386,48.837811,2019/03/15,2019/06/22,POPB
253783,0102f81003fb89ec,3G,1019,35308,602488,2428126,2.370389,48.851473999999996,2019/03/15,2019/06/22,BASTILLE_BIS
253784,0102f81003fbaa02,3G,1019,43522,601144,2433249,2.352099,48.89752,2019/03/15,2019/06/22,ORNANO
253786,0102f81003fbb4de,3G,1019,46302,602190,2425803,2.366319,48.830597,2019/03/15,2019/06/22,PLACE_JEANNE_D_ARC
253787,0102f81003fbcb2e,3G,1019,52014,603856,2431234,2.389047,48.879401,2019/03/15,2019/06/22,COMPANS
